PathID	Output Frequency Start	Output Frequency Stop	Synthesized Frequency Start	Synthesized Frequency Stop	Divide Ratio (2^?)	"SNR Mode ( 0 ), Wide FM Mode ( 1 ), HarmFiltOff ( 2 )"		MechStepAtten_AttenCardA	MechStepAtten_AttenCardB	MechStepAtten_AttenCardC	MechStepAtten_AttenCardD	MechStepAtten_AttenCardE	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused	Unused
																																							
																																							
000	9.00E+3	5.00E+6	9.00E+3	5.00E+6	NA	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
001	5.00E+6	5.8593750E+6	10.24E+9	12.00E+9	-11	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
002	5.8593750E+6	11.7187500E+6	6.00E+9	12.00E+9	-10	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
003	11.7187500E+6	23.4375000E+6	6.00E+9	12.00E+9	-9	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
004	23.4375000E+6	46.8750000E+6	6.00E+9	12.00E+9	-8	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
005	46.8750000E+6	67.00E+6	6.00E+9	8.58E+9	-7	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
006	67.00E+6	93.75E+6	8.58E+9	12.00E+9	-7	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
007	93.75E+6	155.00E+6	6.00E+9	9.92E+9	-6	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
008	155.00E+6	187.50E+6	9.92E+9	12.00E+9	-6	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
009	187.50E+6	265.00E+6	6.00E+9	8.48E+9	-5	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
010	265.00E+6	375.00E+6	8.48E+9	12.00E+9	-5	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
011	375.00E+6	530.00E+6	6.00E+9	8.48E+9	-4	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
012	530.00E+6	750.00E+6	8.48E+9	12.00E+9	-4	0		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
